"Orgname1","address"
"PRESENTS IN PARASDISE","27356 CAYMAN LANE, RAMROD KEY, FL  33042"
"VOCCALIS INTERNATIONAL SINGING REPE","3844 PARK FIELD DR, LAS VEGAS, NV  89120"
"SOUTH LONDONDERRY TOWNSHIP AREA HIS","PO BOX 100, LAWN, PA  17041"
"EWORKSTYLE INSTITUTE INCORPORATED","170 WEST RODNEY FRENCH BLVD, NEW BEDFORD, MA  2744"
"BRIDGETON SWIM AND DIVE TEAM","165 N MERAMEC AVE STE 110, ST LOUIS, MO  63105"
"ANDERSON VALLEY VILLAGE","13325 ESTATE DRIVE, BOONVILLE, CA  95415"
"PRANA CENTER","1404 NE 17TH COURT, FORT LAUDERDALE, FL  33305"
"SYMBIOTIC INC","PO BOX 194, SUFFOLK, VA  23434"
"NEXT LEVEL LEADERSHIP INC","PO BOX 32246, CHARLOTTE, NC  28232"
"FIRST STONE COMMUNITY MAKER LABS","28151 SECO CANYON RD 57, SANTA CLARITA, CA  91390"
"OBIONE GLOBAL MINISTRIES INC","11507 DR MLK BLVD 234, MANGO, FL  33550"
"HEAVENLY ENCOUNTERS INTERNATIONAL M","PO BOX 798, EL CERRITO, CA  94530"
"MICHIGAN VOICES","2727 2ND AVE STE 109, DETROIT, MI  48201"
"SEEDS OF SUCCESS CORP","15595 LONGSPUR, TERRELL, TX  75160"
"HARMONIC YOUTH ORCHESTRA INC","5425 LEWIS ROAD, AGOURA HILLS, CA  91301"
"RESTORE THE MAGIC","10322 LOLLIPOP LANE, ORLANDO, FL  32821"
"THE RILEY CHARLES SETTERGREN FOUNDA","8511 N 675 E, WILKINSON, IN  46186"
"IYOUTH LIMITED","1226 FRANKLIN DRIVE, CHATTANOOGA, TN  37421"
"RENEE C FRINK SOCIETY INC","41 NORTHERN DRIVE, MILLERSBURG, OH  44654"
"COUNTRY CAT LADY","3107 7TH ST, WAYLAND, MI  49348"
"INTEGRATED COMMUNITY LIVING AND PAR","2835 SPRINGHAVEN PL, MACUNGIE, PA  18062"
"TAKING THE GATES","3083 TRAILS END, AUBREY, TX  76227"
"FOR CARE INC","2943 POLAND SPRINGS DR, ELLICOTT CITY, MD  21042"
"STARLAS ANGELS","3605 MATLOCK PLACE, WALDORF, MD  20602"
"ROMAN CATHOLIC HOME SCHOOL ASSOCIAT","PO BOX 663, COVINGTON, LA  70434"
"BEETHOVEN STREET ELEMENTARY PTA","3711 BEETHOVEN STREET, LOS ANGELES, CA  90066"
"WALK","3310 22ND STREET NE, WASHINGTON, DC  20018"
"JACKSONVILLE GRANITE CURLING CLUB  ","2112 SANDPIPER COURT, PONTE VEDRA BEACH, FL  32082"
"THE ENTREPRENEURIAL PRODUCTION AND ","3715 SUFFOLK STREET, DURHAM, NC  27707"
"MARANATHA MINISTRIES OF LADYSMITH V","207 REMINGTON DRIVE, RUTHER GLEN, VA  22546"
"ST JOSEPHS CONVENT KINGSTOWN ALUMNI","853 EMPIRE BLVD APT  F8, BROOKLYN, NY  11213"
"NEW CANEY HIGH SCHOOL SPIRIT BAND C","2346, NEW CANEY, TX  77357"
"GRAND TRAVERSE REGION PUBLIC SAFETY","897 PARSONS ROAD, TRAVERSE CITY, MI  49684"
"MILITARY UNITED SERVICES INC","99 ARNOLD STREET, METHUEN, MA  1844"
"AMERICAN ACADEMIC AND CULTURAL EXCH","PO BOX 285, REEDVILLE, VA  22539"
"PROJECT U-TURN INC","6860 GULFPORT BLVD  NO 1010, SOUTH PASADENA, FL  33707"
"GOROYAL INC","3865 CREEKVIEW RIDGE DRIVE NE, BUFORD, GA  30518"
"OASIS ENSEMBLES","4201 EAST ENCINAS AVENUE, GILBERT, AZ  85234"
"SEE YOU AT THE TOP INC","4550 LEE ROAD, CLEVELAND, OH  44128"
"SOUTH-SIDE SHOOTERS HOOPS CLUB","224 LAKELAND DR, PALOS PARK, IL  60464"
"NEW ERA PREP","3910 MAX PLACE APT 206, BOYNTON BEACH, FL  33463"
"JEFF GULLEY MEMORIAL SCHOLARSHIP FU","50 FARRIS BRANCH ROAD, WALLINGFORD, KY  41093"
"UNITY GROVE ELEMENTARY PTO","1180 LEGUI MILL ROAD, LOCUST GROVE, GA  30248"
"WHITESBORO VOLUNTEER FIRE DEPARTMEN","31079 HWY 82, WHITESBORO, TX  76273"
"JOURN E FOUNDATION","110 BLACKWOOD CIR, FAYETTEVILLE, GA  30214"
"CAPITAL CITY BOXING CLUB","411 E WASHINGTON ST, SPRINGFIELD, IL  62701"
"WEST MICHIGAN GROWTH","81 S BROTON, MUSKEGON, MI  49442"
"YOGA PARKSIDE FOUNDATION INC","2 WALLACE AVE, BUFFALO, NY  14214"
"STOUGHTON UNITED MINISTRIES INC","525 LINCOLN AVE, STOUGHTON, WI  53589"
"CLEATS FOR FUTURE ATHLETES","23722 SAN ESTEBAN, MISSION VIEJO, CA  92691"
"MINORITY WOMEN PHARMACISTS ASSOCIAT","4261 NW 115TH AVE, CORAL SPRINGS, FL  33065"
"LEXINGTON CLASS OF 2021","3132 COUNTY ROAD 304, ELGIN, TX  78621"
"FENIX LTD","1406 CHESTER ST, SOUTH BEND, IN  46615"
"SUSPENSION BRIDGE VILLAGE PRESERVAT","2639 WELCK AVENUE, NIAGARA FALLS, NY  14303"
"MIMIS COMMUNITY THEATER INC","212 S HIGHLAND AVE, WINTER GARDEN, FL  34787"
"MISSISSIPPI VALLEY ART GUILD","987 STATE STREET, CHESTER, IL  62233"
"CLUB COLOTLAN USA","10100 SAN LUIS ST, SOUTH GATE, CA  90280"
"SEE YOURSELF CLEAR","24949 NATIONAL TRAILS HIGHWAY, HELENDALE, CA  92342"
"MONTEMARA","6547 N ACADEMY BLVD, COLORADO SPRINGS, CO  80918"
"SAFE HAVEN FOR REFUGEES","10419 BRIGHTON ROAD, BRATENAHL, OH  44108"
"THE MANDALA FOUNDATION","737 COX COURT, LECLAIRE, IA  52753"
"PANTHERS PREP","106 WEST DAYTON STREET, LEWISBURG, OH  45338"
"THE ROSE WINDOW","PO BOX 2007, EL PRADO, NM  87529"
"KHADIJAH MEDICAL CLINIC INC","4922 NORTH 56TH STREET, MILWAUKEE, WI  53218"
"AMERICAN CONTINENCE FOUNDATION","4610 S ULSTER ST SUITE 150, DENVER, CO  80237"
"ELITE SOCCER CLUB","15718 PARAMOUNT BLVD SUITE B, PARAMOUNT, CA  90723"
"PUDDLETOWN SQUARES NW","PO BOX 20671, SEATTLE, WA  98102"
"CEDAR CREEK EAGLETTES BOOSTER","496 COLORADO DRIVE, CEDAR CREEK, TX  78612"
"FAIRVIEW FARM AND HOMESTEAD FOUNDAT","P O BOX 356, ABINGDON, VA  24212"
"THE DESHAUN HILL AND HARVARD STEPHE","PO BOX 55071 13825, BOSTON, MA  2205"
"UDITA FOUNDATION","1361 S WINCHESTER BLVD STE 206, SAN JOSE, CA  95128"
"INFINITY DANCE FITNESS ACADEMY","305 N RIVERSIDE DR SUITE 600, CLARKSVILLE, TN  37040"
"FEEDING 5000 A NJ NON PROFIT CORORA","113 PARK CT EAST, MEDFORD, NJ  8055"
"SCIENCE FOR EVERY CHILD","1353 TANAKA DRIVE, SAN JOSE, CA  95131"
"EWAD INC","5603 MUSTANG RIDGE LN, FULSHEAR, TX  77441"
"SAFE GAINESVILLE INC","7637 SW 49TH PL, GAINESVILLE, FL  32608"
"THE MASTERS HAND INC","1328 MALLARD DRIVE, MARTINSVILLE, NJ  8836"
"ACCU LEARNING INC","1295 N KNOLLWOOD CIRCLE, ANAHEIM, CA  92801"
"GARNER MAGNET HIGH SCHOOL PUBLIC SA","2101 SPRING DR, GARNER, NC  27529"
"THE TWO RIVERS WILDLIE SANCTUARY AT","2580 N COLLEGE AV, FAYETTEVILLE, AR  72701"
"BENSON CLEAN  BEAUTIFUL INC","168 E 4TH ST, BENSON, AZ  85602"
"MENS PROJECT DFW","14041 PRESTON ROAD 2301E, DALLAS, TX  75254"
"CITY OF JOY","5408 BRINKLEY ROAD, CAMP SPRINGS, MD  20607"
"BLUEGRASS OUTDOOR CONNECTIONS INC","PO BOX 543, LEXINGTON, KY  40588"
"ROCKWELL CITY REVITALIZATION","335 MAIN STREET, ROCKWELL CITY, IA  50579"
"THE NEW DREAM LIFE INC","9851 SWALLOW LANE, GARDEN GROVE, CA  92841"
"TEAM MAC GIRLS","126 N MAIN ST, BRYAN, OH  43506"
"THE MASTERS MESSAGE MINISTRY INC","6925 GLADIOLA ST, ARVADA, CO  80004"
"WOODMERE CIVIC ASSOCIATION","3801 SHANNON DRIVE, HARVEY, LA  70058"
"SCOTT HINMAN MEMORIAL FUND","3981 ACACIA, IRVINE, CA  92606"
"HYATTSVILLE CATHOLIC COMMUNITY INC","PO BOX 291, HYATTSVILLE, MD  20781"
"OPERATION WARMHEART","988 CANNON DR, LITTLE ROCK AFB, AR  72099"
"FOUR HIS SPLENDOR","122 CREEKVIEW DRIVE, PARADISE, PA  17562"
"GEORGE RANCH LONGHORNS LACROSSE CLU","1918 SUTTERS CHASE DRIVE, SUGAR LAND, TX  77479"
"MIDWEST CHAPLAIN ASSOCIATION","10418 BALES AVE, KANSAS CITY, MO  64137"
"WEIMAR COMMUNITY HALL","406 E CONVERSE ST, WEIMAR, TX  78962"
"MOT YOUTH LACROSSE INC","214 PORKY OLIVER DRIVE, MIDDLETOWN, DE  19709"
"CAPE CRAFTS FOR KIDS","84 RIDGE AVE, NEWTON, MA  2459"
"ALLIANCE FRANCAISE DE SAN ANTONIO","PO BOX 6743, SAN ANTONIO, TX  78209"
"COMMUNITY JUBILEE","360 N PACIFIC COAST HWY STE 2000, EL SEGUNDO, CA  90245"
"THE TOSIN AND FUNMI FOUNDATION","12655 N CENTRAL EXPY STE 1016, DALLAS, TX  75243"
"DC FUTURES","3813 JOCELYN STREET NW, WASHINGTON, DC  20015"
"CURLING CLUB OF THE BERKSHIRES INC","48 PINE KNOLL ROAD, LENOX, MA  1240"
"LEXINGTON FIREFIGHTERS CHARITIES FO","501 DARBY CREEK RD STE 42, LEXINGTON, KY  40509"
"KENAI WHYTE DAY CARE SCHOLARSHIP FU","59 WEST SELDEN STREET, MATTAPAN, MA  2126"
"IGLESIA FRATERNIDAD CRISTIANA OF JA","6320 ST AUGUSTINE RD SUITE 3AB 4A, JACKSONVILLE, FL  32217"
"KHPHOTOGRAPHY","786 SACKMAN STREET, BROOKLYN, NY  11212"
"MAX RODEO ASSOCIATION","2947 42ND AVE NW, DOUGLAS, ND  58735"
"SHADES ALUMNI FAMILY INC","46 VEGA AVE, BROCKTON, MA  2302"
"BLACK GIRLS CAN INCORPORATED","109-71 195 STREET, QUEENS, VA  11412"
"JOHN ADAMS HIGH SCHOOL TRACK ALUMNI","16308 HIGHVIEW DR, CLEVELAND, OH  44128"
"TERRELL BUCKLEY FOUNDATION INC","10097 CLEARY BLVD, PLANTATION, FL  33324"
"ANGELS TOUCH ASSISTANT LIVING","3778 W POINTE DRIVE, FLORENCE, SC  29501"
"DATA DRIVEN TECHNOLOGIES INC","6031 SADRING AVENUE, WOODLAND HILLS, CA  91367"
"ALTRU RESOURCES INCORPORATED","3412 POWHATAN AVENUE, BALTIMORE, MD  21216"
"SPORTS LEADERSHIP ACEDEMY","5 FONTANA CT, WINSTON-SALEM, NC  27103"
"PENNSYLVANIA RR TECHNICAL  HISTORIC","PO BOX 648, RIVERHEAD, NY  11901"
"WESTERN BORDER COLLIE RESCUE","PO BOX 141, GLENROCK, WY  82637"
"SHANNON PAULSEN SUITE DREAMS","413 E 32ND ST, HIBBING, MN  55746"
"GENERATION OF WORTH INC","3615 KINGS PARK WAY, DECATUR, GA  30034"
"NYXIES ORPHANED ANIMAL HAVEN INC","15855 NE 209TH ST, LUTHER, OK  73054"
"THINK MAKE LIVE YOUTH","PO BOX 83131, COLUMBUS, OH  43203"
"THE ERIC HOLZWORTH MEMORIAL FOUNDAT","878 BEAVERBROOK DR, ATLANTA, GA  30318"
"NORTH CAROLINA STOP GENX IN OUR WAT","7103 CRABWALK COURT, WILMINGTON, NC  28405"
"KANSAS PRAY AND PLAY PLAYERS","11523 CEDAR LANE, MAIZE, KS  67101"
"WHITE ROSE CAMPAIGN INC","8917 RIDGECREST COURT, FREDERICKSBURG, VA  22408"
"SPICELAND FREEDOM DAYS","P O BOX 108, SPICELAND, IN  47385"
"WESTRAN PTSO","210 W DEPOT ST, HUNTSVILLE, MO  65259"
"ROCK FOUNDATION","37 SOUTH 333DR LANE D, FEDERAL WAY, WA  98003"
"COUGAR BULLPEN CLUB INC","2817 CRESTWOOD RD, CHARLESTON, WV  25302"
"COMMUNITY LIFE FORWARD INC","3901 PARK HEIGHTS AVE, BALTIMORE, MD  21215"
"GIVE 365 BR","P O BOX 174, ZACHARY, LA  70791"
"JENKINS COUNTY K-9-1-1 RESCUE INC","642 NORTH MASONIC STREET, MILLEN, GA  30442"
"GRACE MERCY PEACE INC","6207 JULIAN ST, SPRINGFIELD, VA  22150"
"HALLOWED HAVEN 131815 INC","51387 US HWY 50 1 EARL AVE SUITE B, PARLIN, CO  81239"
"ALL-STAR SOCCER SKILLS ACADEMY","2324 BUTTE PL, WALDORF, MD  20603"
"FAITH FOUNDATION OF NORTH CAROLINA","706 SHAMROCK WAY, GREENVILLE, NC  27834"
"SHS GIRLS BASKETBALL BC INC","18 HUYLER ROAD, BRANCHBURG, NJ  8876"
"INSPIRATION ACADEMY","2310 NE 5TH ST, BLUE SPRINGS, MO  64014"
"CLAN BACON","645 WEST PASEO RIO GRANDE, ORO VALLEY, AZ  85737"
"SAVING GRACE FOUNDATION INC","246 MAGNOLIA POINTE DR, JEFFERSON, GA  30549"
"UTAH GANG INVESTIGATORS ASSOCIATION","1078 N GARNETTE, SALT LAKE CITY, UT  84116"
"SUSTAIN HUNTSVILLE","4419 SHADY LANE, HUNTSVILLE, TX  77320"
"ITHRIVE EMPOWERMENT INC","13723 BLUE ORCHID CT, HOUSTON, TX  77044"
"HABITAT FOR HORSES INC","16400  W HWY 318, WILLISTON, FL  32696"
"SUNRISE SUNS WHEELCHAIR BASKETBALL","10390 NW 20TH CT, SUNRISE, FL  33322"
"KENTUCKY HAND AND UPPER EXTREMITY S","4405 CREEKCROSSING DRIVE, LOUISVILLE, KY  40241"
"KIMBROUGH THEATRE GROUP","11080 VAN BUREN ROAD, SAULSBURY, TN  38067"
"KINGS OF KIBERA INC","338 ELDERT ST APT 1B, BROOKLYN, NY  11237"
"AMERICAN WEST INDIAN CULTURAL ASSOC","603 EAST UNIVERSITY DR STE B274, CARSON, CA  90746"
"ENWB INC","8223 AQUILA STREET, PORT RICHEY, FL  34668"
"CHRIST THE WISDOM OF GOD INC","325 BURLEIGH ST, ORLANDO, FL  32824"
"GRIFFIN-SPALDING CLUB NANBPWC INC","P O BOX 862, GRIFFIN, GA  30224"
"PICKENS ANGLERS HIGH SCHOOL FISHING","133 LAKEVIEW LANE, PICKENSVILLE, AL  35447"
"SIGMA CHI OMICRON OMICRON FOUNDATIO","200 E RANDOLPH ST STE 5100-38, CHICAGO, IL  60601"
"ONE FIRE WORSHIP INC","3115 CABLE DR, HOLIDAY, FL  34691"
"KOREAN - AMERICAN PUBLIC ACTION COM","6820 ORANGETHORPE AVE SUITE E, BUENA PARK, CA  90620"
"DIVERSE SEXUALITIES RESEARCH AND ED","6032 WEST CROWLEY AVENUE, VISALIA, CA  93291"
"MATTHEW DEMARCO SCHOLARSHIP FUND IN","164 OAKLAND AVENUE, EASTCHESTER, NY  10709"
"TRG EDUCATION FUND","12339 SHUMARD LN, FRISCO, TX  75035"
"LADY JAGS V-BALL BOOSTERS","140 BROOKWOOD DRIVE, ATHENS, GA  30605"
"TAPDOLLS DANCE & MUSIC COMPANY","709 N 74TH TERRACE, KANSAS CITY, KS  66112"
"18 DOWN DISC GOLF","332 NE ROTH STREET, PORTLAND, OR  97211"
"WHEN SHE THRIVES","PO BOX 675, CORAOPOLIS, PA  15108"
"DANVILLE JR FOOTBALL LEAGUE","PO BOX 433, DANVILLE, IN  46122"
"COMMUNITY NAVIGTORS COMMUNITY BUILD","121 ELK STONE TRAIL, GARNER, NC  27529"
"DESTINATION HOOVER INTERNATIONAL","3444 MEADOW WOODS DRIVE, HOOVER, AL  35216"
"MID-AMERICA JUDGING CENTER INC","4500 BOLES ROAD, LABADIE, MO  63055"
"DREAM WAREHOUSE","2200 S MCDUFFIE ST, ANDERSON, SC  29624"
"TM MANSFIELD EDUCATIONAL ADVENTURES","235 SAN DIMAS AVE, OCEANSIDE, CA  92057"
"ENRICH ENCOURAGE AND EMPOWER ME","PO BOX 3374, SOUTHFIELD, MI  48037"
"START WELL FOUNDATION INC","517 W MAIN ST, YUKON, OK  73099"
"NC PRAISE RADIO INC","PO BOX 364, GRIFTON, NC  28530"
"DREW COUNTY BEEKEEPERS ASSOCIATION","555 WEST GAINES STREET, MONTICELLO, AR  71655"
"ROBERT DAVIES SR MEMORIAL GOLF TOUR","9085 KENAMAR DR, SAN DIEGO, CA  92121"
"KHS TRAP TEAM INC","9837 WILLOW CREEK ROAD, KIMBALL, MN  55353"
"CJOY NETWORKS INC","6 SUNNY KNOLL DRIVE, HYANNIS, MA  2601"
"MARIAVILLE SPORTSMENS CLUB INC","936 MARIAVILLE RD, ELLSWORTH, ME  4605"
"SMILES OF KU RUGBY","157 E MAIN STREET, KUTZTOWN, PA  19530"
"VA METRO LACROSSE","PO BOX 3393, OAKTON, VA  22124"
"MAMAS OF THE NICU INC","321 MONTGOMERY RD, ALTAMONTE SPRINGS, FL  32716"
"PROVINCETOWN LGBT CENTER","3 FREEMAN STREET NO 2, PROVINCETOWN, MA  2657"
"THE ANN T LATORA FOUNDATION INC","55 FIRST STREET, PELHAM, NY  10803"
"VALLEJO COMMUNITY ACUPUNCTURE","480 REDWOOD STREET SUITE 14, VALLEJO, CA  94590"
"FLEXATONIC ARTS INC","1388 RIVER ROAD, BINGHAMTON, NY  13901"
"THE GIVING CUPBOARD","4563 E 75 N, RIGBY, ID  83442"
"NATIONAL SOCIETY OF THE DAUGHTERS O","1222 22ND STREET, AUBURN, NE  68305"
"FJELLBARN FUND","69 MARBLE STREET UNIT E225, EDWARDS, CO  81632"
"LIBERTY BELL PROJECT INC","4005 7TH STREET NW, ROCHESTER, MN  55901"
"MAKING IT COUNT INC","3504 MARWICK DR, PLANO, TX  75075"
"BOOKS AND LIFE INC","6345 BANNERHORN RUN, ALPHARETTA, GA  30005"
"TSFQ INC","1188 90TH STREET EAST, INVER GROVE HEIGHTS, MN  55077"
"TOP HAND SCRAMBLE FOUNDATION","5005 WOODWAY DRIVE SUITE 210, HOUSTON, TX  77056"
"GOFORTH RECOVERY","PO BOX 1507, SPARTANBURG, SC  29302"
"TEAM GIVE BACK INC","680 RT 211E 3B247, MIDDLETOWN, NY  10941"
"CAPITOL CITY ROBOTICS INC","2846 BELAIR PL NE, WASHINGTON, DC  20018"
"CEDAR VALLEY COMMUNITY FOUNDATION","1900 CEDAR VALLEY MNR, GUTHRIE, OK  73044"
"WOLF PACK FOOTBALL","837 E 3800 N, BUHL, ID  83316"
"NATIONAL MUSEUM OF HIP-HOP","1614 WINDSOR RD, TEANECK, NJ  7666"
"NAMUGONGO FUND FOR SPECIAL CHILDREN","C/O BMC/SPARK CENTER, BOSTON, MA  2126"
"INK RIBBON FOUNDATION","7201 SCENIC DESERT CT, LAS VEGAS, NV  89131"
"THROWING STARFISH FOUNDATION","330 VERNON STREET BOX 1203, ROSEVILLE, CA  95678"
"GERRITSEN BEACH YOUTH ORGANIZATION","8 IVA COURT, BROOKLYN, NY  11229"
"WE WORSHIP INC","PO BOX 5316, KINGWOOD, TX  77325"
"LEND A PAW","413 BOTSFORD ST, PORT HURON, MI  48060"
"AMYS GIFT OF HOPE","8150 BOHEMIAN ROAD, CORNING, OH  43730"
"HUB CITY MOMS INC","1732 NORTHVIEW LANE, ABERDEEN, SD  57401"
"DR B S KESHAVA MEMORIAL FOUNDATION","3516 CARLTON SQUARE PLACE, RALEIGH, NC  27612"
"DUNDEE DUCKS YOUTH SPORTS","3104 POST OAK CT, WINTER HAVEN, FL  33884"
"IMMIGRANT HISTORY INITIATIVE INCORP","22 TILTON STREET APT 3, NEW HAVEN, CT  6511"
"HARPERS MILL SWIM TEAM","8112 LOWWIN TER, CHESTERFIELD, VA  23832"
"IGLESIA CRISTIANA AUN ES TIEMPO","1280 S MARION ST, TULARE, CA  93274"
"RESCUES ROCK INC","8751 WONDERLAND PARK AVENUE, LOS ANGELES, CA  90046"
"NSBE-UCF CHAPTER","4000 CENTRAL FLORIDA BLVD, ORLANDO, FL  32816"
"WENATCHEE VALLEY TREAD","37 NORTH WENATCHEE AVENUE, WENATCHEE, WA  98801"
"PTA IOWA CONGRESS GARFIELD ELEMENTA","902 E 29TH ST, DAVENPORT, IA  52803"
"LOCUST GROVE CEMETERY INC","5336 WATER STREET, STEPHENS CITY, VA  22655"
"PROMOTING EDUCATION ACROSS THE COUN","6120 CYPRESSWOOD DRIVE, SPRING, TX  77379"
"BE A FRIEND FOUNDATION","128 WEST WOODROW SCHOOL ROAD, MURFREESBORO, NC  27855"
"MEDILAG 85 ALUMNI ASSOCIATION NORTH","8787 STONEHOUSE DRIVE, ELLICOTT CITY, MD  21043"
"LAKESHORE FOSTER FAMILIES AND FRIEN","818 26TH STREET, TWO RIVERS, WI  54241"
"DE LEON BOOSTER CLUBS INC","425 S TEXAS STREET, DE LEON, TX  76444"
"MAYRIM INC","609 MEEHAN AVE, FAR ROCKAWAY, NY  11691"
"LEGACI FOUNDATION","7235 S 17TH DRIVE, PHOENIX, AZ  85041"
"US SINO LACQUER PAINTING ART ASSOCI","PO BOX 53786, IRVINE, CA  92619"
"FITNESS FOR ALL FOUNDATION","3 NW 183RD TER, MIAMI, FL  33169"
"TEN WEST CENTER INC","10 W CHURCH ST, FORTVILLE, IN  46040"
"HARTFORD INDEPENDENT CHAMBER ORCHES","221 TRUMBULL STREET APT 1501, HARTFORD, CT  6103"
"LETS GO FISHING PAYNESVILLE","1105 W MAIN STREET, PAYNESVILLE, MN  56362"
"ANACOSTIA MEDIA INSTITUTE","2356 GREEN ST SE, WASHINGTON, DC  20020"
"SMILE EXPERIMENT INC","30203 GOODWICK WAY, WESLEY CHAPEL, FL  33543"
"SOLUTION FOR SANITY FOUNDATION","29500 HEATHERCLIFF RD SPC 280, MALIBU, CA  90265"
"BROOKLYN HEIGHTS COMMUNITY GARDEN","1833 HAYNES ST, NASHVILLE, TN  37207"
"MURFREESBORO COLD PATROL INC","800 PARK AVENUE SUITE P, MURFREESBORO, TN  37129"
"LITTLE TYKES ACADEMY INC","113 TRADITIONS LANE, HAMPTON, GA  30228"
"WILL OF THE WIND PRODUCTIONS","PO BOX 65601, LUBBOCK, TX  79464"
"HIGHLAND COUGAR BASKETBALL BOOSTERS","25441 HERITAGE AVE, LEWISTOWN, MO  63452"
"OPUS 1 SINGERS INC","400 RIDGEVIEW AVE, SCOTCH PLAINS, NJ  7076"
"MASON COUNTY FIRE FIGHTER TRAINING ","PO BOX 1, SCOTTVILLE, MI  49454"
"NEWNAN SHAKESPEARE IN THE PARK","14 1ST STREET, NEWNAN, GA  30263"
"THE LEGACY FOUNDATION","2856 GILMORE STREET, JACKSONVILLE, FL  32205"
"THE HOUSTON ORCHID SOCIETY INC","14520 WESTWAY LN, HOUSTON, TX  77077"
"THE NEWENGLAND DOWNTOWN ALLIANCE IN","53 FEDERAL STREET UPPER ROOM B, WOONSOCKET, RI  2895"
"LUNCH AND A DREAM","POST OFFICE BOX 1841, MARTINEZ, CA  94553"
"HELPING HANDS FOUNDATION WORLDWIDE","1408 SWEET HOME RD SUITE 3, AMHERST, NY  14228"
"WOMEN IN SPORTS TECH INC","130 BUENA VISTA, MILL VALLEY, CA  94941"
"CAPROCK MUSIC FOUNDATION CORPORATIO","2706 60TH ST, LUBBOCK, TX  79413"
"THE DYNAMIC DAISIES FOUNDATION INC","903 LOGWOOD ROAD, CAPITAL HEIGHTS, MD  20743"
"EMERGING MOMENTS","PO BOX 752473, HOUSTON, TX  77075"
"MISS SONIAS HOUSE INC","158 NEWARK AVE, JERSEY CITY, NJ  7302"
"HEALING RIVERS OUTREACH MINISTRIES","27 EAST 102ND PLACE, CHICAGO, IL  60628"
"DINUBA WRESTLING CLUB","3796 AVENUE 408, KINGSBURG, CA  93631"
"CATHOLIC UTAH","3595 EAST APOLLO DRIVE, SALT LAKE CITY, UT  84124"
"WASHINGTON STATE KOREAN AMERICAN DA","7711 168TH PL SW, EDMONDS, WA  98026"
"STEAMKIDS INC","248-25 NORTHERN BLVD STE 1J-201, LITTLE NECK, NY  11362"
"VALDES CIVIL AND HUMAN RIGHTS FOUND","4184 23RD PL SW, NAPLES, FL  34116"
"SEATTLE TRUE INDEPENDENT FILM FESTI","316 MAYNARD AVE SOUTH 107, SEATTLE, WA  98104"
"DMV SPORT KARATE LEAGUE INC","11815 SEVEN LOCKS ROAD, POTOMAC, MD  20854"
"LOVE FROM LUKE","7217 CREEKWOOD COURT, TAMPA, FL  33615"
"DAVE HEILIGER MEMORIAL FOUNDATION","96 WEATHERBY LANE, WRIGHT CITY, MO  63390"
"CENTRO DE AMOR REV ANTONIO RESTO MI","348 CALLE UBEDA, SAN JUAN, PR  923"
"PAJARITO MOUNTAIN VOLUNTEER SKI PAT","154 MONTE REY DRIVE SOUTH, LOS ALAMOS, NM  87544"
"OPEN ARMS EASTERN NC","102 TIMBER LANE, JACKSONVILLE, NC  28540"
"PROJECT CONTRA INC","3839 DRY CREEK DR UNIT 219, AUSTIN, TX  78731"
"CT RESIDENTIAL FARM ALLIANCE INC","40 KNOLL RD, WOODBURY, CT  6798"
"EBONY LIGHTS PRODUCTIONS INC","2515 MONTREAT DR, MONTGOMERY, AL  36116"
"BROKEN HEART MINISTRIES INC","156 HIGH COLONY LANE, THOMASVILLE, GA  31792"
"FREELEE FOUNDATION","1400 HELEN DRIVE UNIT 104, NEWARK, DE  19702"
"TRI-COUNTY MOUNTED SEARCH AND RESCU","PO BOX 3, CAVE CITY, KY  42127"
"THE EMERGE CENTER","4900 PROSPECTUS DRIVE SUITE 100, DURHAM, NC  27713"
"THE MLK HUMANITY PROJECT  MORE LOVE","17 BUCKLES ST, VALLEJO, CA  94590"
"DREAMS FOUNDATION","6600 W CHARLESTON AVE, LAS VEGAS, NV  89146"
"THE ADVISORY PROJECT INC","224 STONECREST DR, ROEBUCK, SC  29376"
"OPEN ARMS HEALTHCARE FACILITY INC","627 HOGAN ROAD, HOLLY SPRINGS, MS  38635"
"RICKY JONES MEMORIAL SCHOLARSHIP FU","2835 HAYNES RD, PULASKI, VA  24301"
"DOT POT","26 BELTON STREET, BOSTON, MA  2124"
"RNB FOUNDATION","4300 SIGMA RD SUITE 100, DALLAS, TX  75244"
"STOPGREENHOUSELANDFILL","3623 SHADOW TRL, HOUSTON, TX  77084"
"MUSLIMS OF AMERICA INC","12208  PARK HEIGHTS AVE, OWINGS MILL, MD  21117"
"A HERO FOR KIDS INCORPORATED","3659 DAYDREAM PLACE, SAINT CLOUD, FL  34772"
"PRECIOUS CHILDREN INC","3 JOHANNA LANE, MONSEY, NY  10952"
"CLOTHING CONNECTION INC","28 ARBELLA STREET, SALEM, ME  1970"
"CITIZENS IMPART INCORPORATED","2665 HYDRAULIC ROAD, CHARLOTTESVILLE, VA  22901"
"CIMARRON RANGE PRESERVATION ASSOCIA","PO BOX 153, FREEDOM, OK  73842"
"ADVANCE MODESTO INITIATIVE","825 7TH STREET, MODESTO, CA  95354"
"CHICAGO CAT CHICKS","1746 W NORTH AVENUE, CHICAGO, IL  60622"
"HOUSTON FIRE AUXILIARY","940192, HOUSTON, AK  99694"
